"scenario","repetition","iteration","timestamp_utc","pending_before","pending_after","trigger_latency_ms","response_json"
"LAN-100","1","1","2026-03-22T05:18:01.9686333Z","100","100","140.059","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","2","2026-03-22T05:18:04.0627591Z","100","100","21.582","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","3","2026-03-22T05:18:06.1221650Z","100","100","21.774","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","4","2026-03-22T05:18:08.1871426Z","100","100","21.74","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","5","2026-03-22T05:18:10.2542750Z","100","100","22.439","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","6","2026-03-22T05:18:12.3440195Z","100","100","20.538","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","7","2026-03-22T05:18:14.4951156Z","100","100","66.548","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","8","2026-03-22T05:18:16.5618576Z","100","100","27.452","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","9","2026-03-22T05:18:18.6308783Z","100","100","23.269","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","10","2026-03-22T05:18:20.7006050Z","100","100","22.314","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","11","2026-03-22T05:18:22.7754789Z","100","100","23.557","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","12","2026-03-22T05:18:24.8368510Z","100","100","22.106","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","13","2026-03-22T05:18:26.9029439Z","100","100","21.662","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","14","2026-03-22T05:18:28.9736690Z","100","100","21.826","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","15","2026-03-22T05:18:31.0391383Z","100","100","22.746","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","16","2026-03-22T05:18:33.1114917Z","100","100","22.119","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","17","2026-03-22T05:18:35.1848007Z","100","100","25.031","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","18","2026-03-22T05:18:37.2547906Z","100","100","27.282","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","19","2026-03-22T05:18:39.3326462Z","100","100","25.382","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","20","2026-03-22T05:18:41.3941358Z","100","100","23.092","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
