"scenario","network","repetition","record_count","pending_before","pending_after","global_pending_before","global_pending_after","trigger_iterations","queue_drain_seconds","avg_trigger_latency_ms","max_trigger_latency_ms","queued_records","synced_records","benchmark_pending_records","retried_records","retry_count_total","primary_cpu_percent","primary_memory_bytes","success","started_at_utc","finished_at_utc"
"4G-1000","4G","1","1000","1000","1000","1000","1000","1","2.986","272.817","272.817","1000","0","1000","1000","1000","0.11","287204966","False","2026-03-22T06:34:29.7496128Z","2026-03-22T06:34:34.8373993Z"
"4G-1000","4G","2","1000","1000","1000","1000","1000","1","3.099","276.576","276.576","1000","0","1000","1000","1000","0.28","287519539","False","2026-03-22T06:34:35.7396940Z","2026-03-22T06:34:41.7380666Z"
"4G-1000","4G","3","1000","1000","1000","1000","1000","1","3.032","263.05","263.05","1000","0","1000","1000","1000","0.74","286995251","False","2026-03-22T06:34:42.7204324Z","2026-03-22T06:34:48.7532342Z"
"4G-1000","4G","4","1000","1000","1000","1000","1000","1","2.857","25.402","25.402","1000","0","1000","1000","1000","0.07","287519539","False","2026-03-22T06:34:49.6648435Z","2026-03-22T06:34:54.6156554Z"
"4G-1000","4G","5","1000","1000","1000","1000","1000","1","3.199","385.111","385.111","1000","0","1000","1000","1000","0.08","287624397","False","2026-03-22T06:34:55.5007445Z","2026-03-22T06:35:16.6249282Z"
"4G-1000","4G","6","1000","1000","1000","1000","1000","1","3.064","331.252","331.252","1000","0","1000","1000","1000","0.07","287834112","False","2026-03-22T06:35:17.5254204Z","2026-03-22T06:35:22.6931082Z"
"4G-1000","4G","7","1000","1000","1000","1000","1000","1","2.955","272.1","272.1","1000","0","1000","1000","1000","0.07","287414682","False","2026-03-22T06:35:23.6088021Z","2026-03-22T06:35:28.7380336Z"
"4G-1000","4G","8","1000","1000","1000","1000","1000","1","3.002","288.784","288.784","1000","0","1000","1000","1000","0.66","288672973","False","2026-03-22T06:35:29.6275698Z","2026-03-22T06:35:34.6945102Z"
"4G-1000","4G","9","1000","1000","1000","1000","1000","1","2.833","28.696","28.696","1000","0","1000","1000","1000","0.71","288463258","False","2026-03-22T06:35:35.5807185Z","2026-03-22T06:35:40.7980766Z"
"4G-1000","4G","10","1000","1000","1000","1000","1002","1","2.826","71.201","71.201","1000","0","1000","1000","1000","0.07","288043827","False","2026-03-22T06:35:41.6437077Z","2026-03-22T06:35:46.5871788Z"
