"Kich ban","Loai mang","So ban ghi","So lan lap","Ti le thanh cong (%)","Thoi gian giai phong hang doi trung binh (s)","Thoi gian giai phong hang doi trung vi (s)","Do lech chuan giai phong hang doi (s)","Khoang tin cay 95% giai phong hang doi (s)","Thoi gian giai phong hang doi nho nhat (s)","Thoi gian giai phong hang doi lon nhat (s)","Do tre trigger trung binh (ms)","Do tre trigger trung vi (ms)","Do lech chuan trigger (ms)","Khoang tin cay 95% trigger (ms)","Do tre trigger lon nhat (ms)","So retry trung binh","So retry trung vi","Do lech chuan retry","Khoang tin cay 95% retry","So retry lon nhat","CPU trung binh (%)","CPU trung vi (%)","Do lech chuan CPU (%)","Khoang tin cay 95% CPU (%)","RAM trung binh (MB)","RAM trung vi (MB)","Do lech chuan RAM (MB)","Khoang tin cay 95% RAM (MB)"
"Dong bo ban ghi","4G","100","10","100","3.66","3.661","0.051","0.032","3.578","3.737","632.6","622.807","51.932","32.188","761.704","0","0","0","0","0","0.181","0.14","0.169","0.105","253.61","253.8","2.619","1.623"
"Dong bo ban ghi","4G","1000","10","100","9.285","9.231","0.275","0.17","8.881","9.908","6234.19","6192.058","302.299","187.367","6868.791","0","0","0","0","0","0.458","0.145","1.02","0.632","261.64","261.8","2.898","1.796"
"Dong bo ban ghi","4G","5000","10","100","34.398","34.305","0.336","0.208","34.055","34.945","31344.717","31248.245","328.526","203.622","31820.919","0","0","0","0","0","0.737","0.14","1.893","1.173","292.02","288.35","21.442","13.29"
"Dong bo ban ghi","4G","10000","10","100","65.875","65.888","0.508","0.315","64.921","66.642","62761.156","62770.297","524.631","325.17","63528.942","0","0","0","0","0","0.162","0.11","0.192","0.119","366.9","372.35","21.755","13.484"
"Dong bo ban ghi","LAN","100","10","100","3.603","3.606","0.114","0.071","3.34","3.744","628.663","654.56","113.352","70.256","718.812","0","0","0","0","0","0.047","0.02","0.075","0.046","169.65","169.7","0.546","0.339"
"Dong bo ban ghi","LAN","1000","10","100","9.224","9.25","0.24","0.149","8.802","9.708","6223.827","6233.57","243.118","150.686","6715.227","0","0","0","0","0","0.79","0.165","1.313","0.814","170.97","170.9","0.419","0.26"
"Dong bo ban ghi","LAN","5000","10","100","34.58","34.168","1.493","0.925","32.811","37.715","31501.209","31071.365","1484.207","919.921","34679.839","0","0","0","0","0","0.84","0.16","1.332","0.826","181.66","181.95","1.358","0.842"
"Dong bo ban ghi","LAN","10000","10","100","65.484","65.516","0.547","0.339","64.529","66.612","62439","62540.408","597.818","370.532","63614.394","0","0","0","0","0","0.206","0.165","0.13","0.08","234.94","239.1","18.534","11.487"
"Dong bo ban ghi","VSAT","100","15","100","3.79","3.778","0.064","0.033","3.678","3.929","653.278","653.981","45.481","23.017","764.808","0","0","0","0","0","0.647","0.22","1.146","0.58","403.353","403","3.356","1.698"
"Dong bo ban ghi","VSAT","1000","15","100","9.596","9.64","0.188","0.095","9.254","9.979","6440.429","6436.679","180.528","91.36","6814.803","0","0","0","0","0","0.361","0.16","0.859","0.435","416.707","417.5","4.998","2.529"
"Dong bo ban ghi","VSAT","5000","15","100","35.095","35.124","0.351","0.178","34.531","35.952","31894.452","31988.018","324.893","164.418","32637.381","0","0","0","0","0","0.403","0.16","0.838","0.424","455.067","457.4","13.317","6.74"
"Dong bo ban ghi","VSAT","10000","15","100","67.736","67.71","0.229","0.116","67.259","68.114","64477.208","64502.883","246.596","124.795","64878.397","0","0","0","0","0","0.518","0.09","1.14","0.577","515","517.8","20.742","10.497"
