"scenario_type","network_profile","record_count","repetitions","success_rate_pct","avg_queue_drain_seconds","p50_queue_drain_seconds","p95_queue_drain_seconds","median_queue_drain_seconds","std_queue_drain_seconds","ci95_queue_drain_seconds","min_queue_drain_seconds","max_queue_drain_seconds","avg_trigger_latency_ms","median_trigger_latency_ms","std_trigger_latency_ms","ci95_trigger_latency_ms","max_trigger_latency_ms","avg_retry_count_total","median_retry_count_total","std_retry_count_total","ci95_retry_count_total","max_retry_count_total","avg_retry_collision_rate_pct","p95_retry_collision_rate_pct","avg_peak_request_rate_rps","p95_peak_request_rate_rps","avg_shore_error_rate_pct","p95_shore_error_rate_pct","avg_primary_cpu_percent","median_primary_cpu_percent","std_primary_cpu_percent","ci95_primary_cpu_percent","avg_primary_memory_mb","median_primary_memory_mb","std_primary_memory_mb","ci95_primary_memory_mb"
"record-sync","LEO","1000","5","100","16.792","17.404","19.989","17.404","2.8","2.454","13.156","20.561","11100.042","11552.77","2920.18","2559.651","13874.787","0","0","0","0","0","0","0","1","1","0","0","0.032","0.03","0.013","0.011","481.36","480.7","9.717","8.518"
"record-sync","VSAT","1000","5","100","17.576","16.385","22.355","16.385","3.621","3.174","14.531","23.175","8715.031","10803.542","4247.92","3723.466","12757.696","0","0","0","0","0","0","0","1","1","0","0","0.138","0.05","0.194","0.17","450.8","450.9","10.872","9.53"
