"Kich ban","Loai mang","So ban ghi","So lan lap","Ti le thanh cong (%)","Thoi gian giai phong hang doi trung binh (s)","Queue drain P50 (s)","Queue drain P95 (s)","Thoi gian giai phong hang doi trung vi (s)","Do lech chuan giai phong hang doi (s)","Khoang tin cay 95% giai phong hang doi (s)","Thoi gian giai phong hang doi nho nhat (s)","Thoi gian giai phong hang doi lon nhat (s)","Do tre trigger trung binh (ms)","Do tre trigger trung vi (ms)","Do lech chuan trigger (ms)","Khoang tin cay 95% trigger (ms)","Do tre trigger lon nhat (ms)","So retry trung binh","Ty le va cham retry trung binh (%)","Peak request rate trung binh (rps)","Ty le loi Shore trung binh (%)","So retry trung vi","Do lech chuan retry","Khoang tin cay 95% retry","So retry lon nhat","CPU trung binh (%)","CPU trung vi (%)","Do lech chuan CPU (%)","Khoang tin cay 95% CPU (%)","RAM trung binh (MB)","RAM trung vi (MB)","Do lech chuan RAM (MB)","Khoang tin cay 95% RAM (MB)"
"Dong bo ban ghi","LEO","1000","5","100","16.792","17.404","19.989","17.404","2.8","2.454","13.156","20.561","11100.042","11552.77","2920.18","2559.651","13874.787","0","0","1","0","0","0","0","0","0.032","0.03","0.013","0.011","481.36","480.7","9.717","8.518"
"Dong bo ban ghi","VSAT","1000","5","100","17.576","16.385","22.355","16.385","3.621","3.174","14.531","23.175","8715.031","10803.542","4247.92","3723.466","12757.696","0","0","1","0","0","0","0","0","0.138","0.05","0.194","0.17","450.8","450.9","10.872","9.53"
