"scenario","repetition","iteration","timestamp_utc","pending_before","pending_after","trigger_latency_ms","response_json"
"LAN-100","3","1","2026-03-22T05:43:01.3771810Z","100","100","45.988","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","3","2","2026-03-22T05:43:03.4946382Z","100","100","21.241","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","3","3","2026-03-22T05:43:05.6223181Z","100","100","45.459","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","3","4","2026-03-22T05:43:07.6881838Z","100","100","20.757","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","3","5","2026-03-22T05:43:09.7612212Z","100","100","21.557","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","3","6","2026-03-22T05:43:11.8378619Z","100","100","21.932","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","3","7","2026-03-22T05:43:13.8978499Z","100","100","20.693","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","3","8","2026-03-22T05:43:15.9587214Z","100","100","21.4","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","3","9","2026-03-22T05:43:18.0196920Z","100","100","21.172","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","3","10","2026-03-22T05:43:20.0940143Z","100","100","22.086","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","3","11","2026-03-22T05:43:22.1636150Z","100","100","20.932","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","3","12","2026-03-22T05:43:24.2356501Z","100","100","21.992","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","3","13","2026-03-22T05:43:26.3030086Z","100","100","22.143","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","3","14","2026-03-22T05:43:28.3862554Z","100","100","26.435","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","3","15","2026-03-22T05:43:30.4553266Z","100","102","22.727","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","3","16","2026-03-22T05:43:32.5263043Z","102","102","32.146","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","3","17","2026-03-22T05:43:34.5883756Z","102","102","20.716","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","3","18","2026-03-22T05:43:36.6623875Z","102","102","24.147","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","3","19","2026-03-22T05:43:38.7323156Z","102","102","20.443","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","3","20","2026-03-22T05:43:40.7984547Z","102","102","19.696","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","3","21","2026-03-22T05:43:42.8670922Z","102","102","21.402","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","3","22","2026-03-22T05:43:44.9266325Z","102","102","21.927","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","3","23","2026-03-22T05:43:46.9917997Z","102","102","20.741","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","3","24","2026-03-22T05:43:49.0528868Z","102","102","20.069","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","3","25","2026-03-22T05:43:51.1262103Z","102","102","22.882","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","3","26","2026-03-22T05:43:53.1906075Z","102","102","25.364","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","3","27","2026-03-22T05:43:55.2566671Z","102","102","22.502","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","3","28","2026-03-22T05:43:57.3173231Z","102","102","19.978","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","3","29","2026-03-22T05:43:59.3837053Z","102","102","21.521","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","3","30","2026-03-22T05:44:01.4719591Z","102","102","50.321","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
