"scenario","network","repetition","record_count","pending_before","pending_after","global_pending_before","global_pending_after","trigger_iterations","queue_drain_seconds","avg_trigger_latency_ms","max_trigger_latency_ms","queued_records","synced_records","benchmark_pending_records","retried_records","retry_count_total","primary_cpu_percent","primary_memory_bytes","success","started_at_utc","finished_at_utc"
"4G-100","4G","1","100","100","100","100","100","1","2.75","45.837","45.837","100","0","100","100","100","0.15","289616691","False","2026-03-22T06:33:14.3107312Z","2026-03-22T06:33:19.6344036Z"
"4G-100","4G","2","100","100","100","100","100","1","2.716","47.952","47.952","100","0","100","100","100","0.14","289406976","False","2026-03-22T06:33:20.5056363Z","2026-03-22T06:33:25.2767026Z"
"4G-100","4G","3","100","100","100","100","100","1","2.768","46.976","46.976","100","0","100","100","100","0.29","289721549","False","2026-03-22T06:33:26.2973042Z","2026-03-22T06:33:31.6561057Z"
"4G-100","4G","4","100","100","100","100","100","1","2.789","44.57","44.57","100","0","100","100","100","0.44","289092403","False","2026-03-22T06:33:32.4702538Z","2026-03-22T06:33:37.5074827Z"
"4G-100","4G","5","100","100","100","100","102","1","2.779","56.241","56.241","100","0","100","100","100","4.1","290665267","False","2026-03-22T06:33:38.5294643Z","2026-03-22T06:33:43.4237473Z"
"4G-100","4G","6","100","100","100","100","100","1","2.706","22.026","22.026","100","0","100","100","100","0.79","289302118","False","2026-03-22T06:33:44.2816098Z","2026-03-22T06:33:49.6349299Z"
"4G-100","4G","7","100","100","100","100","100","1","2.762","21.3","21.3","100","0","100","100","100","0.95","290770125","False","2026-03-22T06:33:50.4867369Z","2026-03-22T06:33:55.3409143Z"
"4G-100","4G","8","100","100","100","100","100","1","18.459","22.546","22.546","100","0","100","100","100","0.21","286785536","False","2026-03-22T06:33:56.4035454Z","2026-03-22T06:34:16.9324271Z"
"4G-100","4G","9","100","100","100","100","100","1","2.757","45.642","45.642","100","0","100","100","100","0.08","286680678","False","2026-03-22T06:34:17.8226541Z","2026-03-22T06:34:22.6366574Z"
"4G-100","4G","10","100","100","100","100","100","1","2.767","46.182","46.182","100","0","100","100","100","0.09","286575821","False","2026-03-22T06:34:23.5032048Z","2026-03-22T06:34:28.7066873Z"
