"scenario","repetition","iteration","timestamp_utc","pending_before","pending_after","trigger_latency_ms","response_json"
"LAN-100","4","1","2026-03-22T05:55:37.1650843Z","100","100","42.892","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","4","2","2026-03-22T05:55:39.2311717Z","100","100","19.464","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","4","3","2026-03-22T05:55:41.2955720Z","100","100","20.474","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","4","4","2026-03-22T05:55:43.3483635Z","100","100","19.564","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","4","5","2026-03-22T05:55:45.4062716Z","100","100","19.488","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","4","6","2026-03-22T05:56:11.8643940Z","100","102","20.311","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","4","7","2026-03-22T05:56:13.9337460Z","102","102","23","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","4","8","2026-03-22T05:56:16.0410158Z","102","102","43.164","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","4","9","2026-03-22T05:56:18.1112368Z","102","102","23.888","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","4","10","2026-03-22T05:56:20.1771086Z","102","102","20.108","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","4","11","2026-03-22T05:56:22.2392796Z","102","102","22.838","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","4","12","2026-03-22T05:56:24.3077390Z","102","102","20.682","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","4","13","2026-03-22T05:56:26.3905600Z","102","102","28.027","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","4","14","2026-03-22T05:56:28.4619258Z","102","102","21.402","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","4","15","2026-03-22T05:56:30.5274448Z","102","102","20.024","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","4","16","2026-03-22T05:56:32.5967976Z","102","102","20.3","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","4","17","2026-03-22T05:56:34.6667338Z","102","102","21.846","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","4","18","2026-03-22T05:56:36.7293495Z","102","102","20.794","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","4","19","2026-03-22T05:56:38.8263712Z","102","102","59.156","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","4","20","2026-03-22T05:56:40.8945692Z","102","102","24.969","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","4","21","2026-03-22T05:56:42.9560086Z","102","102","21.167","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","4","22","2026-03-22T05:56:45.0151697Z","102","102","21.686","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","4","23","2026-03-22T05:57:11.9663486Z","102","104","21.539","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","4","24","2026-03-22T05:57:14.0591209Z","104","104","32.739","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","4","25","2026-03-22T05:57:16.1714162Z","104","104","55.789","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","4","26","2026-03-22T05:57:18.2354642Z","104","104","20.815","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","4","27","2026-03-22T05:57:20.2937722Z","104","104","21.904","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","4","28","2026-03-22T05:57:22.3620318Z","104","104","21.602","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","4","29","2026-03-22T05:57:24.4380154Z","104","104","22.911","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","4","30","2026-03-22T05:57:26.5150777Z","104","104","30.178","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","4","31","2026-03-22T05:57:28.5855074Z","104","104","22.478","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","4","32","2026-03-22T05:57:30.6465593Z","104","104","23.943","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","4","33","2026-03-22T05:57:32.7146278Z","104","104","23.055","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","4","34","2026-03-22T05:57:34.7758615Z","104","104","21.88","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","4","35","2026-03-22T05:57:36.8411163Z","104","104","22.14","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","4","36","2026-03-22T05:57:38.9025138Z","104","104","22.082","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","4","37","2026-03-22T05:57:40.9751044Z","104","104","22.108","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","4","38","2026-03-22T05:57:43.0421081Z","104","104","22.872","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","4","39","2026-03-22T05:57:45.1190255Z","104","104","23.003","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","4","40","2026-03-22T05:58:14.1396250Z","104","106","26943.612","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","4","41","2026-03-22T05:58:16.2926101Z","106","106","58.914","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","4","42","2026-03-22T05:58:18.3557177Z","106","106","22.589","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","4","43","2026-03-22T05:58:20.4233862Z","106","106","20.661","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","4","44","2026-03-22T05:58:22.4908748Z","106","106","21.249","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","4","45","2026-03-22T05:58:24.5493650Z","106","106","21.774","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","4","46","2026-03-22T05:58:26.6173467Z","106","106","21.446","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","4","47","2026-03-22T05:58:28.6837601Z","106","106","21.853","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","4","48","2026-03-22T05:58:30.7478532Z","106","106","24.775","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","4","49","2026-03-22T05:58:32.8173287Z","106","106","22.285","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","4","50","2026-03-22T05:58:34.8834038Z","106","106","21.441","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","4","51","2026-03-22T05:58:36.9529728Z","106","106","22.958","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","4","52","2026-03-22T05:58:39.0231949Z","106","106","25.419","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","4","53","2026-03-22T05:58:41.0829964Z","106","106","20.722","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","4","54","2026-03-22T05:58:43.1533367Z","106","106","21.754","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","4","55","2026-03-22T05:58:45.2176764Z","106","106","24.856","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","4","56","2026-03-22T05:58:47.2869533Z","106","106","21.231","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","4","57","2026-03-22T05:59:14.2716810Z","108","108","31.04","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":108}"
"LAN-100","4","58","2026-03-22T05:59:16.3863302Z","108","108","51.908","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":108}"
"LAN-100","4","59","2026-03-22T05:59:18.4482554Z","108","108","23.524","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":108}"
"LAN-100","4","60","2026-03-22T05:59:20.5217780Z","108","108","23.022","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":108}"
"LAN-100","4","61","2026-03-22T05:59:22.5893655Z","108","108","23.458","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":108}"
"LAN-100","4","62","2026-03-22T05:59:24.6596421Z","108","108","23.589","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":108}"
"LAN-100","4","63","2026-03-22T05:59:26.7291664Z","108","108","22.234","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":108}"
"LAN-100","4","64","2026-03-22T05:59:28.7882670Z","108","108","21.509","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":108}"
"LAN-100","4","65","2026-03-22T05:59:30.8471748Z","108","108","23.984","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":108}"
"LAN-100","4","66","2026-03-22T05:59:32.9144698Z","108","108","21.996","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":108}"
"LAN-100","4","67","2026-03-22T05:59:34.9708567Z","108","108","20.285","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":108}"
"LAN-100","4","68","2026-03-22T05:59:37.0432556Z","108","108","19.78","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":108}"
"LAN-100","4","69","2026-03-22T05:59:39.1120711Z","108","108","26.255","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":108}"
"LAN-100","4","70","2026-03-22T05:59:41.1752077Z","108","108","20.161","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":108}"
"LAN-100","4","71","2026-03-22T05:59:43.2424905Z","108","108","19.945","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":108}"
"LAN-100","4","72","2026-03-22T05:59:45.3041523Z","108","108","20.067","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":108}"
"LAN-100","4","73","2026-03-22T06:00:12.1648355Z","108","110","20.539","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":108}"
"LAN-100","4","74","2026-03-22T06:00:14.2826299Z","110","110","34.546","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":110}"
"LAN-100","4","75","2026-03-22T06:00:16.4295215Z","110","110","46.857","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":110}"
