"scenario","repetition","iteration","timestamp_utc","pending_before","pending_after","trigger_latency_ms","response_json"
"LAN-100","2","1","2026-03-22T05:30:19.8151646Z","100","100","47.951","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","2","2026-03-22T05:30:21.8903920Z","100","100","20.213","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","3","2026-03-22T05:30:23.9745717Z","100","100","27.894","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","4","2026-03-22T05:30:26.0377215Z","100","100","22.627","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","5","2026-03-22T05:30:28.1070384Z","100","100","22.162","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","6","2026-03-22T05:30:30.1847705Z","100","100","25.917","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","7","2026-03-22T05:30:32.2576847Z","100","100","22.279","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","8","2026-03-22T05:30:34.3277106Z","100","100","26.98","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","9","2026-03-22T05:30:36.4018211Z","100","100","23.877","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","10","2026-03-22T05:30:38.4653111Z","100","100","21.475","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","11","2026-03-22T05:30:40.5296432Z","100","100","20.98","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","12","2026-03-22T05:30:42.5908965Z","100","100","21.614","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","13","2026-03-22T05:30:44.6573704Z","100","100","19.898","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","14","2026-03-22T05:30:46.7209832Z","100","100","20.08","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","15","2026-03-22T05:30:48.7828189Z","100","100","20.49","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","16","2026-03-22T05:30:50.8435383Z","100","100","20.147","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","17","2026-03-22T05:30:52.9534107Z","100","100","20.634","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","18","2026-03-22T05:30:55.0709171Z","100","100","50.09","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","19","2026-03-22T05:30:57.1255835Z","100","100","19.778","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","20","2026-03-22T05:30:59.1914984Z","100","100","20.201","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","21","2026-03-22T05:31:01.2539414Z","100","100","20.792","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","22","2026-03-22T05:31:03.3118242Z","100","100","20.652","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","23","2026-03-22T05:31:11.9896290Z","100","100","6635.347","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","24","2026-03-22T05:31:14.0626063Z","100","102","23.366","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","2","25","2026-03-22T05:31:16.1479671Z","102","102","32.978","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","2","26","2026-03-22T05:31:18.2157282Z","102","102","26.589","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","2","27","2026-03-22T05:31:20.2870210Z","102","102","21.37","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","2","28","2026-03-22T05:31:22.3490053Z","102","102","22.865","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","2","29","2026-03-22T05:31:24.4251136Z","102","102","24.597","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","2","30","2026-03-22T05:31:26.4906405Z","102","102","22.587","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","2","31","2026-03-22T05:31:28.5541666Z","102","102","22.877","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","2","32","2026-03-22T05:31:30.6266928Z","102","102","24.36","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","2","33","2026-03-22T05:31:32.7024257Z","102","102","23.409","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","2","34","2026-03-22T05:31:34.7761179Z","102","102","23.668","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","2","35","2026-03-22T05:31:36.8422644Z","102","102","21.802","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","2","36","2026-03-22T05:31:38.9107206Z","102","102","21.365","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","2","37","2026-03-22T05:31:40.9746979Z","102","102","21.978","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","2","38","2026-03-22T05:31:43.0515965Z","102","102","20.968","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","2","39","2026-03-22T05:32:09.9721701Z","102","102","41.452","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
