"scenario_type","network_profile","record_count","repetitions","success_rate_pct","avg_queue_drain_seconds","median_queue_drain_seconds","std_queue_drain_seconds","ci95_queue_drain_seconds","min_queue_drain_seconds","max_queue_drain_seconds","avg_trigger_latency_ms","median_trigger_latency_ms","std_trigger_latency_ms","ci95_trigger_latency_ms","max_trigger_latency_ms","avg_retry_count_total","median_retry_count_total","std_retry_count_total","ci95_retry_count_total","max_retry_count_total","avg_primary_cpu_percent","median_primary_cpu_percent","std_primary_cpu_percent","ci95_primary_cpu_percent","avg_primary_memory_mb","median_primary_memory_mb","std_primary_memory_mb","ci95_primary_memory_mb"
"record-sync","LAN","10","1","100","4.039","4.039","0","0","4.039","4.039","467.343","467.343","0","0","467.343","0","0","0","0","0","0.07","0.07","0","0","401.3","401.3","0","0"
"record-sync","LAN","100","1","100","4.414","4.414","0","0","4.414","4.414","979.367","979.367","0","0","979.367","0","0","0","0","0","0.02","0.02","0","0","403.1","403.1","0","0"
