"Kich ban","Loai mang","So ban ghi","So lan lap","Ti le thanh cong (%)","Thoi gian giai phong hang doi trung binh (s)","Thoi gian giai phong hang doi trung vi (s)","Do lech chuan giai phong hang doi (s)","Khoang tin cay 95% giai phong hang doi (s)","Thoi gian giai phong hang doi nho nhat (s)","Thoi gian giai phong hang doi lon nhat (s)","Do tre trigger trung binh (ms)","Do tre trigger trung vi (ms)","Do lech chuan trigger (ms)","Khoang tin cay 95% trigger (ms)","Do tre trigger lon nhat (ms)","So retry trung binh","So retry trung vi","Do lech chuan retry","Khoang tin cay 95% retry","So retry lon nhat","CPU trung binh (%)","CPU trung vi (%)","Do lech chuan CPU (%)","Khoang tin cay 95% CPU (%)","RAM trung binh (MB)","RAM trung vi (MB)","Do lech chuan RAM (MB)","Khoang tin cay 95% RAM (MB)"
"Dong bo ban ghi","LAN","10","1","100","4.039","4.039","0","0","4.039","4.039","467.343","467.343","0","0","467.343","0","0","0","0","0","0.07","0.07","0","0","401.3","401.3","0","0"
"Dong bo ban ghi","LAN","100","1","100","4.414","4.414","0","0","4.414","4.414","979.367","979.367","0","0","979.367","0","0","0","0","0","0.02","0.02","0","0","403.1","403.1","0","0"
