"scenario","network","repetition","record_count","pending_before","pending_after","global_pending_before","global_pending_after","trigger_iterations","queue_drain_seconds","avg_trigger_latency_ms","max_trigger_latency_ms","queued_records","synced_records","benchmark_pending_records","retried_records","retry_count_total","primary_cpu_percent","primary_memory_bytes","success","started_at_utc","finished_at_utc"
"LAN-1000","LAN","1","1000","1000","1000","1000","1000","1","2.855","266.668","266.668","1000","0","1000","1000","1000","0.04","98964603","False","2026-03-22T06:28:37.9728922Z","2026-03-22T06:28:42.8606532Z"
"LAN-1000","LAN","2","1000","1000","1000","1000","1000","1","2.914","264.626","264.626","1000","0","1000","1000","1000","0.02","99342090","False","2026-03-22T06:28:43.6570093Z","2026-03-22T06:28:49.3484390Z"
"LAN-1000","LAN","3","1000","1000","1000","1000","1000","1","2.907","263.683","263.683","1000","0","1000","1000","1000","0.44","103033078","False","2026-03-22T06:28:50.2030693Z","2026-03-22T06:28:55.1387631Z"
"LAN-1000","LAN","4","1000","1000","1000","1000","1000","1","20.956","23.207","23.207","1000","0","1000","1000","1000","0.3","104396227","False","2026-03-22T06:28:56.1204802Z","2026-03-22T06:29:19.3770964Z"
"LAN-1000","LAN","5","1000","1000","1000","1000","1000","1","2.878","263.073","263.073","1000","0","1000","1000","1000","0.05","105277030","False","2026-03-22T06:29:20.1872670Z","2026-03-22T06:29:25.0998877Z"
"LAN-1000","LAN","6","1000","1000","1000","1000","1000","1","2.942","258.544","258.544","1000","0","1000","1000","1000","0.03","106325606","False","2026-03-22T06:29:26.0765284Z","2026-03-22T06:29:31.4589730Z"
"LAN-1000","LAN","7","1000","1000","1000","1000","1002","1","2.862","258.112","258.112","1000","0","1000","1000","1000","0.03","107164467","False","2026-03-22T06:29:32.2888681Z","2026-03-22T06:29:37.2923387Z"
"LAN-1000","LAN","8","1000","1000","1000","1000","1000","1","2.887","255.104","255.104","1000","0","1000","1000","1000","0.58","109261619","False","2026-03-22T06:29:38.1859528Z","2026-03-22T06:29:43.1353135Z"
"LAN-1000","LAN","9","1000","1000","1000","1000","1000","1","2.93","236.659","236.659","1000","0","1000","1000","1000","0.58","110205338","False","2026-03-22T06:29:43.9777420Z","2026-03-22T06:29:49.4004431Z"
"LAN-1000","LAN","10","1000","1000","1000","1000","1000","1","2.951","263.16","263.16","1000","0","1000","1000","1000","0.72","112407347","False","2026-03-22T06:29:50.3535058Z","2026-03-22T06:29:55.3655662Z"
