"scenario","network","repetition","record_count","pending_before","pending_after","global_pending_before","global_pending_after","trigger_iterations","queue_drain_seconds","avg_trigger_latency_ms","max_trigger_latency_ms","queued_records","synced_records","benchmark_pending_records","retried_records","retry_count_total","primary_cpu_percent","primary_memory_bytes","success","started_at_utc","finished_at_utc"
"LAN-10000","LAN","1","10000","10000","10000","10000","10002","1","6.409","3621.058","3621.058","10000","0","10000","10000","10000","3.09","183395942","False","2026-03-22T06:31:33.8779088Z","2026-03-22T06:31:42.3993651Z"
"LAN-10000","LAN","2","10000","10000","10000","10000","10000","1","6.367","3609.329","3609.329","10000","0","10000","10000","10000","3.25","240753050","False","2026-03-22T06:31:43.6211452Z","2026-03-22T06:31:52.0967095Z"
"LAN-10000","LAN","3","10000","10000","10000","10000","10000","1","6.463","3730.348","3730.348","10000","0","10000","10000","10000","3.79","260675994","False","2026-03-22T06:31:53.2796723Z","2026-03-22T06:32:01.9516831Z"
"LAN-10000","LAN","4","10000","10000","10000","10000","10000","1","7.659","4859.049","4859.049","10000","0","10000","10000","10000","0.02","266967450","False","2026-03-22T06:32:03.2611855Z","2026-03-22T06:32:13.0277657Z"
"LAN-10000","LAN","5","10000","10000","10000","10000","10000","1","6.607","3844.929","3844.929","10000","0","10000","10000","10000","0.02","268225741","False","2026-03-22T06:32:14.3121853Z","2026-03-22T06:32:23.0123326Z"
"LAN-10000","LAN","6","10000","10000","10000","10000","10000","1","6.633","3888.809","3888.809","10000","0","10000","10000","10000","2.13","270532608","False","2026-03-22T06:32:24.2006373Z","2026-03-22T06:32:32.9762644Z"
"LAN-10000","LAN","7","10000","10000","10000","10000","10002","1","7.006","4224.269","4224.269","10000","0","10000","10000","10000","0.04","272210330","False","2026-03-22T06:32:34.2423306Z","2026-03-22T06:32:43.3540047Z"
"LAN-10000","LAN","8","10000","10000","10000","10000","10000","1","6.527","3827.752","3827.752","10000","0","10000","10000","10000","0.02","278292070","False","2026-03-22T06:32:44.6125467Z","2026-03-22T06:32:53.2212463Z"
"LAN-10000","LAN","9","10000","10000","10000","10000","10000","1","6.608","3854.842","3854.842","10000","0","10000","10000","10000","3.96","287519539","False","2026-03-22T06:32:54.4028248Z","2026-03-22T06:33:03.0885250Z"
"LAN-10000","LAN","10","10000","10000","10000","10000","10000","1","6.707","3926.788","3926.788","10000","0","10000","10000","10000","3.69","290140979","False","2026-03-22T06:33:04.4242293Z","2026-03-22T06:33:13.2154789Z"
