"scenario","repetition","iteration","timestamp_utc","pending_before","pending_after","trigger_latency_ms","response_json"
"LAN-10","1","1","2026-03-22T05:48:16.1293875Z","10","10","35.343","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"LAN-10","1","2","2026-03-22T05:48:17.2273283Z","10","10","26.353","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"LAN-10","1","3","2026-03-22T05:48:18.3070692Z","10","10","23.505","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"LAN-10","1","4","2026-03-22T05:48:19.3850819Z","10","10","20.815","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"LAN-10","1","5","2026-03-22T05:48:20.4538481Z","10","10","22.889","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
