"scenario_type","network_profile","record_count","repetitions","success_rate_pct","avg_queue_drain_seconds","min_queue_drain_seconds","max_queue_drain_seconds","avg_trigger_latency_ms","max_trigger_latency_ms","avg_retry_count_total","max_retry_count_total","avg_primary_cpu_percent","avg_primary_memory_mb"
"record-sync","LAN","10","1","100","2.152","2.152","2.152","119.413","119.413","0","0","0.21","47.07"
"record-sync","LAN","100","1","100","3.023","3.023","3.023","988.977","988.977","0","0","0.17","48.5"
