"scenario","repetition","iteration","timestamp_utc","pending_before","pending_after","trigger_latency_ms","response_json"
"LAN-100","5","1","2026-03-22T06:13:34.2508371Z","100","100","42.08","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","5","2","2026-03-22T06:13:36.3049279Z","100","100","20.025","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","5","3","2026-03-22T06:13:38.3693870Z","100","100","19.6","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","5","4","2026-03-22T06:13:40.4357968Z","100","100","21.122","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","5","5","2026-03-22T06:13:42.4932277Z","100","100","21.036","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","5","6","2026-03-22T06:13:44.5624907Z","100","100","21.599","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","5","7","2026-03-22T06:13:46.6250855Z","100","100","19.931","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","5","8","2026-03-22T06:14:15.1992746Z","100","102","26510.96","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","5","9","2026-03-22T06:14:17.2834095Z","102","102","33.757","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","5","10","2026-03-22T06:14:19.3480519Z","102","102","21.36","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","5","11","2026-03-22T06:14:21.4130679Z","102","102","21.511","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","5","12","2026-03-22T06:14:23.4780146Z","102","102","21.731","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","5","13","2026-03-22T06:14:25.5418192Z","102","102","23.294","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","5","14","2026-03-22T06:14:27.6055691Z","102","102","21.7","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
