"scenario","network","repetition","record_count","pending_before","pending_after","global_pending_before","global_pending_after","trigger_iterations","queue_drain_seconds","avg_trigger_latency_ms","max_trigger_latency_ms","queued_records","synced_records","benchmark_pending_records","retried_records","retry_count_total","primary_cpu_percent","primary_memory_bytes","success","started_at_utc","finished_at_utc"
"LAN-100","LAN","1","100","100","100","100","102","1","2.712","20.593","20.593","100","0","100","100","100","0.66","84934656","False","2026-03-22T06:27:27.7941881Z","2026-03-22T06:27:32.6604577Z"
"LAN-100","LAN","2","100","100","100","100","100","1","2.684","53.601","53.601","100","0","100","100","100","0.04","86130033","False","2026-03-22T06:27:33.4733267Z","2026-03-22T06:27:38.2729889Z"
"LAN-100","LAN","3","100","100","100","100","100","1","2.689","46.146","46.146","100","0","100","100","100","0.08","88122327","False","2026-03-22T06:27:39.0728089Z","2026-03-22T06:27:43.8121889Z"
"LAN-100","LAN","4","100","100","100","100","100","1","2.673","41.57","41.57","100","0","100","100","100","3.04","89191875","False","2026-03-22T06:27:44.6366032Z","2026-03-22T06:27:50.3204667Z"
"LAN-100","LAN","5","100","100","100","100","100","1","2.691","43.97","43.97","100","0","100","100","100","0.45","90481623","False","2026-03-22T06:27:51.1554587Z","2026-03-22T06:27:55.8793298Z"
"LAN-100","LAN","6","100","100","100","100","100","1","2.631","19.253","19.253","100","0","100","100","100","0.45","91792343","False","2026-03-22T06:27:56.6709776Z","2026-03-22T06:28:01.9450797Z"
"LAN-100","LAN","7","100","100","100","100","100","1","2.629","19.468","19.468","100","0","100","100","100","0.53","93690266","False","2026-03-22T06:28:14.5810148Z","2026-03-22T06:28:19.3684530Z"
"LAN-100","LAN","8","100","100","100","100","100","1","2.685","48.465","48.465","100","0","100","100","100","0.18","94759813","False","2026-03-22T06:28:20.1632179Z","2026-03-22T06:28:24.8624811Z"
"LAN-100","LAN","9","100","100","100","100","100","1","2.665","52.884","52.884","100","0","100","100","100","0.38","96007619","False","2026-03-22T06:28:25.8174873Z","2026-03-22T06:28:31.3879653Z"
"LAN-100","LAN","10","100","100","100","102","102","1","2.717","51.362","51.362","100","0","100","100","100","0.19","96552878","False","2026-03-22T06:28:32.1972953Z","2026-03-22T06:28:36.9426724Z"
